Date : 2024-09-04 18:08:14
Directory : c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2
Total : 59 files,  30927 codes, 433 comments, 667 blanks, all 32027 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         17 |     18,148 |          0 |         18 |     18,166 |
| XML                |          6 |     10,364 |          0 |          6 |     10,370 |
| TypeScript         |         17 |      1,468 |        334 |        341 |      2,143 |
| JavaScript         |          8 |        349 |         71 |         95 |        515 |
| PostCSS            |          3 |        263 |         25 |         51 |        339 |
| Ink                |          1 |        208 |          1 |        125 |        334 |
| HTML               |          4 |         79 |          0 |         17 |         96 |
| JSON with Comments |          1 |         27 |          2 |          0 |         29 |
| Markdown           |          2 |         21 |          0 |         14 |         35 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |         59 |     30,927 |        433 |        667 |     32,027 |
| . (Files)                                                                                          |          6 |        110 |          2 |         17 |        129 |
| dist                                                                                               |         13 |     14,133 |          0 |         17 |     14,150 |
| dist (Files)                                                                                       |          2 |         31 |          0 |          4 |         35 |
| dist\assets                                                                                        |         11 |     14,102 |          0 |         13 |     14,115 |
| dist\assets (Files)                                                                                |         10 |     14,101 |          0 |         13 |     14,114 |
| dist\assets\story_files                                                                            |          1 |          1 |          0 |          0 |          1 |
| inky                                                                                               |          1 |        208 |          1 |        125 |        334 |
| public                                                                                             |         10 |     14,336 |          0 |         13 |     14,349 |
| public (Files)                                                                                     |          1 |         14 |          0 |          2 |         16 |
| public\assets                                                                                      |          9 |     14,322 |          0 |         11 |     14,333 |
| public\assets (Files)                                                                              |          8 |     14,321 |          0 |         11 |     14,332 |
| public\assets\story_files                                                                          |          1 |          1 |          0 |          0 |          1 |
| src                                                                                                |         26 |      2,075 |        428 |        488 |      2,991 |
| src (Files)                                                                                        |          3 |         58 |          1 |         10 |         69 |
| src\game_scripts                                                                                   |         10 |        986 |        165 |        175 |      1,326 |
| src\game_scripts (Files)                                                                           |          4 |        743 |        126 |        129 |        998 |
| src\game_scripts\interfaces                                                                        |          1 |         21 |          1 |          2 |         24 |
| src\game_scripts\utils                                                                             |          5 |        222 |         38 |         44 |        304 |
| src\inky                                                                                           |          9 |        595 |         96 |        145 |        836 |
| src\inky (Files)                                                                                   |          4 |         45 |          0 |          1 |         46 |
| src\inky\inky_chapter_1_web                                                                        |          5 |        550 |         96 |        144 |        790 |
| src\inky\inky_chapter_1_web\chapter_1                                                              |          5 |        550 |         96 |        144 |        790 |
