"filename", "language", "TypeScript", "HTML", "PostCSS", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\customStyles\sceneTransition.css", "PostCSS", 0, 0, 29, 0, 0, 0, 4, 33
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\SceneAction.ts", "TypeScript", 53, 0, 0, 0, 0, 2, 7, 62
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\SceneActionManager.ts", "TypeScript", 271, 0, 0, 0, 0, 44, 38, 353
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\SceneTransition.ts", "TypeScript", 32, 0, 0, 0, 0, 5, 6, 43
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\StoryBox.ts", "TypeScript", 156, 0, 0, 0, 0, 6, 25, 187
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\character.ts", "TypeScript", 313, 0, 0, 0, 0, 70, 64, 447
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\interfaces\StoryBoxConfig.ts", "TypeScript", 21, 0, 0, 0, 0, 1, 2, 24
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\utils\CollisionChecker.ts", "TypeScript", 49, 0, 0, 0, 0, 3, 6, 58
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\utils\DesktopControls.ts", "TypeScript", 257, 0, 0, 0, 0, 16, 34, 307
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\utils\DirectionInput.ts", "TypeScript", 29, 0, 0, 0, 0, 1, 4, 34
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\utils\SceneActionData.ts", "TypeScript", 0, 0, 0, 0, 0, 19, 2, 21
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\utils\SceneUtils.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 6, 51
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\utils\grid.ts", "TypeScript", 79, 0, 0, 0, 0, 6, 19, 104
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\game_scripts\utils\utils.ts", "TypeScript", 97, 0, 0, 0, 0, 14, 17, 128
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\index.html", "HTML", 0, 17, 0, 0, 0, 0, 3, 20
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\inky\chapter_1.ink.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\inky\chapter_1.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\inky\inky-test-json.json", "JSON", 0, 0, 0, 0, 18, 0, 0, 18
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\inky\inky_chapter_1_web\chapter_1\chapter_1.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\inky\inky_chapter_1_web\chapter_1\index.html", "HTML", 0, 29, 0, 0, 0, 0, 10, 39
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\inky\inky_chapter_1_web\chapter_1\ink.js", "JavaScript", 0, 0, 0, 1, 0, 1, 1, 3
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\inky\inky_chapter_1_web\chapter_1\main.js", "JavaScript", 0, 0, 0, 284, 0, 70, 86, 440
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\inky\inky_chapter_1_web\chapter_1\style.css", "PostCSS", 0, 0, 235, 0, 0, 25, 47, 307
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\inky\inkytest.json", "JSON", 0, 0, 0, 0, 25, 0, 1, 26
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\main.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 6, 47
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\scenes\Level.ts", "TypeScript", 29, 0, 0, 0, 0, 22, 26, 77
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\scenes\MainGameScene.ts", "TypeScript", 290, 0, 0, 0, 0, 134, 82, 506
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\scenes\Preload.ts", "TypeScript", 40, 0, 0, 0, 0, 17, 29, 86
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\script-nodes\PreloadBarUpdaterScript.ts", "TypeScript", 16, 0, 0, 0, 0, 11, 17, 44
"c:\Users\gregc\Documents\js_dev\phaser_dev\RPG2\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1, 2
"Total", "-", 1818, 46, 264, 287, 44, 468, 543, 3470
